Booking ID,Event Date,Space,Organization,Contact Email,Contact Phone,Event Type,Guest Count,Hours,Package,Add-Ons,Status,Quoted Price
SH-1001,2026-01-18,Courtyard,City of Phoenix Parks and Rec,events@phoenixparks.gov,602-555-0110,Fundraiser,73,2,Silver,Decor,Completed,950
SH-1002,2026-02-05,Main Hall,City of Phoenix Parks and Rec,events@phoenixparks.gov,602-555-0110,Community Meeting,72,6,Silver,Extra Staff,Completed,1750
SH-1003,2026-02-18,Courtyard,City of Phoenix Parks and Rec,events@phoenixparks.gov,602-555-0110,Market,123,4,Silver,Parking,Cancelled,1050
SH-1004,2026-03-07,Courtyard,City of Phoenix Parks and Rec,events@phoenixparks.gov,602-555-0110,Market,139,3,Silver,Extra Staff,Completed,1000
SH-1005,2026-03-28,Meeting Room,City of Phoenix Parks and Rec,events@phoenixparks.gov,602-555-0117,Fundraiser,40,8,Gold,"Decor, Parking",Completed,1630
SH-1006,2026-04-15,Meeting Room,City of Phoenix Parks and Rec,events@phoenixparks.gov,602-555-0110,Fundraiser,40,6,Silver,Decor,Completed,1010
SH-1007,2026-05-06,Meeting Room,Phoenix Camera Club,hello@phxcameraclub.org,602-555-0121,Workshop,29,8,Gold,Parking,Completed,1330
SH-1008,2026-05-27,Meeting Room,Phoenix Camera Club,hello@phxcameraclub.org,602-555-0121,Workshop,18,2,Gold,Decor,Completed,1170
SH-1009,2026-06-10,Courtyard,Phoenix Camera Club,hello@phxcameraclub.org,602-555-0121,Workshop,175,2,Bronze,None,Cancelled,300
SH-1010,2026-07-01,Meeting Room,Phoenix Camera Club,hello@phxcameraclub.org,602-555-0121,Networking,20,4,Silver,"AV Package, Decor",Confirmed,1040
SH-1011,2026-07-13,Meeting Room,Phoenix Camera Club,hello@phxcameraclub.org,602-555-0121,Workshop,27,3,Gold,AV Package,Confirmed,1080
SH-1012,2026-07-25,Courtyard,Valle Verde High School,activities@valleverde.edu,602-555-0132,Fundraiser,150,3,Silver,Parking,Confirmed,900
SH-1013,2026-08-14,Courtyard,Valle Verde High School,activities@valleverde.edu,602-555-0132,Concert,150,8,Gold,"AV Package, Catering",Confirmed,2600
SH-1014,2026-09-02,Main Hall,Valle Verde High School,activities@valleverde.edu,602-555-0132,Fundraiser,267,2,Gold,Catering,Confirmed,1650
SH-1015,2026-09-14,Courtyard,Valle Verde High School,activities@valleverde.edu,602-555-0132,Concert,123,4,Silver,"AV Package, Decor",Confirmed,1400
SH-1016,2026-10-03,Courtyard,Roosevelt Row Arts,book@rooseveltrow.org,602-555-0143,Market,115,3,Silver,None,Pending,800
SH-1017,2026-10-22,Courtyard,Roosevelt Row Arts,book@rooseveltrow.org,602-555-0143,Market,124,3,Silver,"Extra Staff, Parking",Pending,1100
